Global Iteration: 0, Training MSE: 0.8179127637153636, Testing MSE: 6.015801906585693
Global Iteration: 1, Training MSE: 0.5974445940210269, Testing MSE: 0.6248227953910828
Global Iteration: 2, Training MSE: 0.5737273004335852, Testing MSE: 0.5813595056533813
Global Iteration: 3, Training MSE: 0.5629769968871886, Testing MSE: 0.571800947189331
Global Iteration: 4, Training MSE: 0.5551084664005499, Testing MSE: 0.5647016167640686
Global Iteration: 5, Training MSE: 0.5501304059504316, Testing MSE: 0.5580857396125793
Global Iteration: 6, Training MSE: 0.5471253464571559, Testing MSE: 0.5571034550666809
Global Iteration: 7, Training MSE: 0.5453941037161992, Testing MSE: 0.5593063831329346
Global Iteration: 8, Training MSE: 0.5437777216617877, Testing MSE: 0.5589535236358643
Global Iteration: 9, Training MSE: 0.5430370145978836, Testing MSE: 0.5709995627403259
Global Iteration: 10, Training MSE: 0.5425686171851479, Testing MSE: 0.5609909296035767
Global Iteration: 11, Training MSE: 0.5421120740043429, Testing MSE: 0.5619946122169495
Global Iteration: 12, Training MSE: 0.541322435080432, Testing MSE: 0.5630027055740356
Global Iteration: 13, Training MSE: 0.5416834075863546, Testing MSE: 0.5685936212539673
Global Iteration: 14, Training MSE: 0.5411700964547121, Testing MSE: 0.5771015286445618
Global Iteration: 15, Training MSE: 0.5408388766675041, Testing MSE: 0.5715401768684387
Global Iteration: 16, Training MSE: 0.5411349159307204, Testing MSE: 0.5758753418922424
Global Iteration: 17, Training MSE: 0.5405303469071021, Testing MSE: 0.5806836485862732
Global Iteration: 18, Training MSE: 0.5411620787846354, Testing MSE: 0.5886040329933167
Global Iteration: 19, Training MSE: 0.5408100736828951, Testing MSE: 0.5858842730522156
Global Iteration: 20, Training MSE: 0.5412057333697493, Testing MSE: 0.5906906723976135
Global Iteration: 21, Training MSE: 0.541053673510368, Testing MSE: 0.5820443034172058
Global Iteration: 22, Training MSE: 0.5405882043620716, Testing MSE: 0.5911115407943726
Global Iteration: 23, Training MSE: 0.5408021522542606, Testing MSE: 0.5813637971878052
Global Iteration: 24, Training MSE: 0.5404377342559971, Testing MSE: 0.5880200266838074
Global Iteration: 25, Training MSE: 0.5399114447001081, Testing MSE: 0.5903289914131165
Global Iteration: 26, Training MSE: 0.5394837282168178, Testing MSE: 0.5897554755210876
Global Iteration: 27, Training MSE: 0.5395174988330557, Testing MSE: 0.5867950320243835
Global Iteration: 28, Training MSE: 0.5398040836963517, Testing MSE: 0.5866811871528625
Global Iteration: 29, Training MSE: 0.5397525132991946, Testing MSE: 0.5926806330680847
Global Iteration: 30, Training MSE: 0.5396296542281143, Testing MSE: 0.5852999687194824
Global Iteration: 31, Training MSE: 0.5391879907164435, Testing MSE: 0.5962691307067871
Global Iteration: 32, Training MSE: 0.5388243035484964, Testing MSE: 0.5895677804946899
Global Iteration: 33, Training MSE: 0.5386718137046465, Testing MSE: 0.5740653872489929
Global Iteration: 34, Training MSE: 0.5391973774450329, Testing MSE: 0.5970895290374756
Global Iteration: 35, Training MSE: 0.5387466059997679, Testing MSE: 0.5877068638801575
Global Iteration: 36, Training MSE: 0.538357717787417, Testing MSE: 0.5950555205345154
Global Iteration: 37, Training MSE: 0.5384564028049892, Testing MSE: 0.5867878794670105
Global Iteration: 38, Training MSE: 0.5381604301671568, Testing MSE: 0.5914705991744995
Global Iteration: 39, Training MSE: 0.5383956785098866, Testing MSE: 0.5817498564720154
Global Iteration: 40, Training MSE: 0.5384955824281159, Testing MSE: 0.6046839952468872
