Global Iteration: 0, Training MSE: 0.7269762963744311, Testing MSE: 5.6406965255737305
Global Iteration: 1, Training MSE: 0.5483894347227537, Testing MSE: 0.581230103969574
Global Iteration: 2, Training MSE: 0.5235651832818986, Testing MSE: 0.539389967918396
Global Iteration: 3, Training MSE: 0.5078890358484708, Testing MSE: 0.5219246745109558
Global Iteration: 4, Training MSE: 0.4967974650630585, Testing MSE: 0.5064280033111572
Global Iteration: 5, Training MSE: 0.48867355861342876, Testing MSE: 0.49582356214523315
Global Iteration: 6, Training MSE: 0.4829378519608425, Testing MSE: 0.4888235628604889
Global Iteration: 7, Training MSE: 0.478412987188651, Testing MSE: 0.48334231972694397
Global Iteration: 8, Training MSE: 0.4752100195334508, Testing MSE: 0.4803026616573334
Global Iteration: 9, Training MSE: 0.47256920403012864, Testing MSE: 0.4755256772041321
Global Iteration: 10, Training MSE: 0.4706247107799236, Testing MSE: 0.47694647312164307
Global Iteration: 11, Training MSE: 0.46900206969334535, Testing MSE: 0.4763672351837158
Global Iteration: 12, Training MSE: 0.46752862790456184, Testing MSE: 0.4762425124645233
Global Iteration: 13, Training MSE: 0.4665943002242309, Testing MSE: 0.47391360998153687
Global Iteration: 14, Training MSE: 0.4660709801316261, Testing MSE: 0.4709448516368866
Global Iteration: 15, Training MSE: 0.46556369321850627, Testing MSE: 0.4737932085990906
Global Iteration: 16, Training MSE: 0.46503499744030147, Testing MSE: 0.4724003076553345
Global Iteration: 17, Training MSE: 0.4640439066290855, Testing MSE: 0.47095516324043274
Global Iteration: 18, Training MSE: 0.4638533524366525, Testing MSE: 0.4686673879623413
Global Iteration: 19, Training MSE: 0.46364639661633056, Testing MSE: 0.4699070155620575
Global Iteration: 20, Training MSE: 0.4634506183404188, Testing MSE: 0.4685932397842407
Global Iteration: 21, Training MSE: 0.4627092848374293, Testing MSE: 0.47227728366851807
Global Iteration: 22, Training MSE: 0.462452400361116, Testing MSE: 0.46902844309806824
Global Iteration: 23, Training MSE: 0.46263971351660205, Testing MSE: 0.4733421802520752
Global Iteration: 24, Training MSE: 0.4620418778061867, Testing MSE: 0.47063207626342773
Global Iteration: 25, Training MSE: 0.4618959813163831, Testing MSE: 0.4698539078235626
Global Iteration: 26, Training MSE: 0.4612616107097039, Testing MSE: 0.47030022740364075
Global Iteration: 27, Training MSE: 0.46178421591336904, Testing MSE: 0.4716394245624542
Global Iteration: 28, Training MSE: 0.4614232371862119, Testing MSE: 0.47181323170661926
Global Iteration: 29, Training MSE: 0.46196786850690835, Testing MSE: 0.4694359302520752
Global Iteration: 30, Training MSE: 0.46148286398786775, Testing MSE: 0.4726278483867645
Global Iteration: 31, Training MSE: 0.4618238949317199, Testing MSE: 0.4681682288646698
Global Iteration: 32, Training MSE: 0.4607739404417003, Testing MSE: 0.4706936180591583
Global Iteration: 33, Training MSE: 0.4617485075501295, Testing MSE: 0.47924456000328064
Global Iteration: 34, Training MSE: 0.46161705782780277, Testing MSE: 0.46776291728019714
Global Iteration: 35, Training MSE: 0.46134919673204433, Testing MSE: 0.4713344871997833
Global Iteration: 36, Training MSE: 0.4608912663276379, Testing MSE: 0.46835583448410034
Global Iteration: 37, Training MSE: 0.46143213203320144, Testing MSE: 0.4716443717479706
Global Iteration: 38, Training MSE: 0.4597941477252888, Testing MSE: 0.46952250599861145
Global Iteration: 39, Training MSE: 0.46154801061520223, Testing MSE: 0.47398313879966736
Global Iteration: 40, Training MSE: 0.4607839749638852, Testing MSE: 0.46519339084625244
